"City","Practice_Name","City.Rank","Compliance","Star_Rating","Numerator","Denominator","Needed4","Needed5","Med_Household","Address","Program","Stars_Par"
"Albion","ALBION FAMILY PRACTICE",1,0.8,4,8,10,0,1,45413.8463,"155 East State Street","TRUE PERFORMANCE AHN","Y"
"Albrightsville","CMS PENN KIDDER",1,1,5,4,4,NA,NA,52147.0647,"2588 State Route 903","TRUE PERFORMANCE","Y"
"Albrightsville","ST LUKES ALBRIGHTSVILLE INTERNAL MEDICINE",2,0.857,5,6,7,NA,NA,52147.0647,"2599 State Route 903","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","RANDY R SHEMER DO",6,0.759,3,22,29,1,3,49623.6499,"2424 Mill Street","TRUE PERFORMANCE AHN","Y"
"Aliquippa","MOKA, GANAPATHI  RAO, MD",1,1,5,6,6,NA,NA,49623.6499,"2450 Mill St","","Y"
"Aliquippa","SINGH, AMAR, J, MD",7,0.538,1,7,13,4,5,49623.6499,"1 Hospital Drive","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","HVMG JAMES TATUM",4,0.849,4,45,53,0,1,49623.6499,"2299 Brodhead Rd","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","HVMG FAMILY PRACTICE ASSOC HOPEWELL",3,0.866,5,58,67,0,0,49623.6499,"99 Buss Rd","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","SIA, JOSE K MD",1,1,5,4,4,NA,NA,49623.6499,"2285 Brodhead Road","","Y"
"Aliquippa","HVMG INTERNAL MEDICINE SPECIALISTS",5,0.764,3,42,55,2,5,49623.6499,"3113 Green Garden Rd","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","PERSONAL CARE MEDICAL ASSOCIATES LLC",8,0.4,1,4,10,4,5,49623.6499,"2349 Mill Street","","Y"
"Allentown","OAA ORTHOPAEDIC SPECIALISTS",19,0.75,3,3,4,NA,NA,66485.4639,"250 Cetronia Road","BUNDLES SHARED SAVINGS","Y"
"Allentown","VALLEY FAMILY PRACTICE",37,0.25,1,2,8,NA,NA,52682.3905,"2319 Union Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","SACRED HEART PRIMARY CARE",1,1,5,4,4,NA,NA,66485.4639,"3570 Hamilton Boulevard","TRUE PERFORMANCE","Y"
"Allentown","OAKWOOD MEDICAL CENTER",19,0.75,3,6,8,NA,NA,27520.1629,"451 West Chew Street","TRUE PERFORMANCE","Y"
"Allentown","CEDAR CREST EMERGI CENTER",35,0.5,1,3,6,NA,NA,52682.3905,"1101 South Cedar Crest Boulevard","","Y"
"Allentown","BOGNET MEDICAL ASSOCIATES PC",32,0.571,2,4,7,NA,NA,52682.3905,"1275 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","HANOVER FAMILY MEDICAL GROUP",23,0.733,3,11,15,1,2,40801.9732,"1202 Hanover Avenue","TRUE PERFORMANCE","Y"
"Allentown","LVPG INTERNAL MEDICINE 3080 HAMILTON BOULEVARD",15,0.8,4,16,20,0,1,52682.3905,"3080 Hamilton Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","LVPG LEHIGH VALLEY FAMILY HEALTH CENTER",1,1,5,5,5,NA,NA,66485.4639,"1730 Chew Street","TRUE PERFORMANCE IND","Y"
"Allentown","CONNELLY FAMILY PRACTICE",33,0.556,1,5,9,NA,NA,66485.4639,"501 North 17th Street","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","FAMILY PRACTICE JAMES MARTIN MD PC",1,1,5,3,3,NA,NA,52682.3905,"1148 S Cedar Crest Boulevard","","Y"
"Allentown","LVPG FAMILY MEDICINE 3080 HAMILTON BOULEVARD",10,0.867,5,26,30,0,0,52682.3905,"3080 Hamilton Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","LVPG FAMILY MEDICINE SOUTHSIDE",11,0.857,5,6,7,NA,NA,52682.3905,"141 E Emaus Avenue","TRUE PERFORMANCE IND","Y"
"Allentown","TOTAL FAMILY HEALTHCARE",34,0.538,1,7,13,4,5,52682.3905,"3050 Hamilton Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","DAVID J SHINGLES DO PC",19,0.75,3,3,4,NA,NA,52682.3905,"1101 South Cedar Crest Boulevard","","Y"
"Allentown","VALLEY FAMILY CARE PC",30,0.6,2,3,5,NA,NA,80775.4288,"1150 Glenlivet Drive","","Y"
