"ID","practice_Name","Lon","Lat","Zip","Med_Household","Mean_Household","Pop_of_Zip","Measure","Weight","Compliance","Denominator","Numerator","Star_Rating","Aggregate_Stars","Cut2","Cut3","Cut4","Cut5","Needed2","Needed3","Needed4","Needed5","Needed_Next","Gap_Worth","Address","Address_2","City","State","Program","Entity","Health_System","FreedomBlue","SecurityBlue","WV_FreedomBlue","Stars_Par","practice_Mbr_Count"
"000000626","SPEICHER, JOSEPH DO",-75.8368724,41.8375498,18801,43679.1409,54747.1118,8193,"C21: All-cause Readmissions",3,1.96,5,1,1,4.37,1.06,0.81,0.65,0.41,NA,NA,NA,NA,NA,NA,"100 Hospital Drive","","Montrose","PA","TRUE PERFORMANCE","ENDLESS MOUNTAINS HEALTH SYSTEMS TRUE PERFORMANCE","","Y","","","Y",32
"000001702","NELSON, LAWRENCE J MD",-79.9436399,40.3249199,15236,55607.3086,65950.9892,30298,"C21: All-cause Readmissions",3,0,4,0,5,2,1.06,0.81,0.65,0.41,NA,NA,NA,NA,NA,NA,"777 Clairton Boulevard","","Pittsburgh","PA","","","","","Y","","Y",28
"000001795","DITOPPA, LOUIS A DO",-79.8102163,40.3387421,15131,46296.0262,57736.626,8987,"C21: All-cause Readmissions",3,0.74,34,4,3,3.67,1.06,0.81,0.65,0.41,-1,0,1,2,2,0.1,"1978 Lincoln Way","","White Oak","PA","TRUE PERFORMANCE IND","QUALITY CARE PARTNERS PC TRUE PERFORMANCE","","","Y","","Y",188
"000002297","INTEGRATED MEDICAL GROUP INT MED",-76.1858908,40.7033851,17901,39292.0361,48297.2029,26494,"C21: All-cause Readmissions",3,1.34,27,5,1,2.43,1.06,0.81,0.65,0.41,2,2,3,4,4,0.1,"48 Tunnel Road","Suite 204","Pottsville","PA","TRUE PERFORMANCE","INTEGRATED MEDICAL GROUP PC TRUE PERFORMANCE","","Y","","","Y",191
"000003926","FAMILY FIRST HEALTH",-76.7271117,39.9606001,17401,24338.2901,33700.8782,16244,"C21: All-cause Readmissions",3,0,6,0,5,1.55,1.06,0.81,0.65,0.41,NA,NA,NA,NA,NA,NA,"116 South George Street","","York","PA","TRUE PERFORMANCE","FAMILY FIRST HEALTH TRUE PERFORMANCE","","Y","","","Y",30
"000004168","BEATTY, LAWRENCE THOMAS MD",-78.8479875,40.2779613,15904,43655.3817,62380.9029,17093,"C21: All-cause Readmissions",3,0,9,0,5,2.72,1.06,0.81,0.65,0.41,NA,NA,NA,NA,NA,NA,"201 College Park Plaza","Suite 2","Johnstown","PA","","","","","Y","","Y",59
"000004564","GIUGLIANO, FRANK J MD",-76.2278374,41.0623951,18603,38172.5427,46580.6173,19554,"C21: All-cause Readmissions",3,0,3,0,5,2,1.06,0.81,0.65,0.41,NA,NA,NA,NA,NA,NA,"523 Fowler Avenue","","Berwick","PA","","","","Y","","","Y",13
"000005944","RANDY R SHEMER DO",-80.2871554,40.6062659,15001,49623.6499,59542.5742,35062,"C21: All-cause Readmissions",3,0.48,37,3,4,2.41,1.06,0.81,0.65,0.41,-3,-2,0,1,1,0.0999999999999996,"2424 Mill Street","","Aliquippa","PA","TRUE PERFORMANCE AHN","PHYSICIAN PARTNERS OF WESTERN PA LLC TRUE PERFORMANCE","","","Y","","Y",178
"000007079","MON VLY COMM HLTH SERVICE MED",-79.8708767,40.1599508,15062,29776.2544,41141.6097,8692,"C21: All-cause Readmissions",3,0,7,0,5,1.88,1.06,0.81,0.65,0.41,NA,NA,NA,NA,NA,NA,"2 Eastgate Avenue","Suite 101","Monessen","PA","TRUE PERFORMANCE PLUS COMM","VALE U HEALTH PHYSICIAN ORGANIZATION TRUE PERFORMANCE","","","Y","","Y",35
"000008429","DAVID P ZAMBO DO LLC",-75.3240565,40.7127678,18064,74782.2414,84502.7017,21362,"C21: All-cause Readmissions",3,1.21,4,1,1,2.5,1.06,0.81,0.65,0.41,NA,NA,NA,NA,NA,NA,"4263 Lonat Drive","","Nazareth","PA","TRUE PERFORMANCE IND","LEHIGH VALLEY PHO GLOBAL BUDGET AND QUALITY","","Y","","","Y",27
