"City","Practice_Name","City.Rank","Compliance","Star_Rating","Numerator","Denominator","Needed4","Needed5","Med_Household","Address","Program","Stars_Par"
"Albion","ALBION FAMILY PRACTICE",1,0.625,2,5,8,NA,NA,45413.8463,"155 East State Street","TRUE PERFORMANCE AHN","Y"
"Aliquippa","RANDY R SHEMER DO",4,0.923,5,12,13,0,0,49623.6499,"2424 Mill Street","TRUE PERFORMANCE AHN","Y"
"Aliquippa","SINGH, AMAR, J, MD",1,1,5,3,3,NA,NA,49623.6499,"1 Hospital Drive","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","HVMG JAMES TATUM",5,0.875,5,14,16,0,0,49623.6499,"2299 Brodhead Rd","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","HVMG FAMILY PRACTICE ASSOC HOPEWELL",6,0.867,5,13,15,0,0,49623.6499,"99 Buss Rd","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","SIA, JOSE K MD",1,1,5,9,9,NA,NA,49623.6499,"2285 Brodhead Road","","Y"
"Aliquippa","HVMG INTERNAL MEDICINE SPECIALISTS",7,0.733,3,11,15,2,2,49623.6499,"3113 Green Garden Rd","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","PERSONAL CARE MEDICAL ASSOCIATES LLC",1,1,5,5,5,NA,NA,49623.6499,"2349 Mill Street","","Y"
"Allentown","SACRED HEART PRIMARY CARE",13,0.667,2,2,3,NA,NA,66485.4639,"3570 Hamilton Boulevard","TRUE PERFORMANCE","Y"
"Allentown","OAKWOOD MEDICAL CENTER",9,0.75,3,3,4,NA,NA,27520.1629,"451 West Chew Street","TRUE PERFORMANCE","Y"
"Allentown","CEDAR CREST EMERGI CENTER",1,1,5,3,3,NA,NA,52682.3905,"1101 South Cedar Crest Boulevard","","Y"
"Allentown","HANOVER FAMILY MEDICAL GROUP",7,0.8,4,4,5,NA,NA,40801.9732,"1202 Hanover Avenue","TRUE PERFORMANCE","Y"
"Allentown","LVPG INTERNAL MEDICINE 3080 HAMILTON BOULEVARD",7,0.8,4,4,5,NA,NA,52682.3905,"3080 Hamilton Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","CONNELLY FAMILY PRACTICE",9,0.75,3,3,4,NA,NA,66485.4639,"501 North 17th Street","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","LVPG FAMILY MEDICINE 3080 HAMILTON BOULEVARD",9,0.75,3,6,8,NA,NA,52682.3905,"3080 Hamilton Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","TOTAL FAMILY HEALTHCARE",15,0.5,1,2,4,NA,NA,52682.3905,"3050 Hamilton Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","LVPG INTERNAL MEDICINE 1230 CEDAR CREST",13,0.667,2,8,12,2,3,52682.3905,"1230 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","MCGORRY AND MATTA FAMILY MEDICINE",5,0.917,5,11,12,0,0,52682.3905,"3050 Hamilton Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","AMC MEDICAL ASSOCIATES",1,1,5,3,3,NA,NA,66485.4639,"401 North 17th Street","TRUE PERFORMANCE IND","Y"
"Allentown","THOMAS J CZAJKOWSKI MD",16,0.333,1,1,3,NA,NA,66485.4639,"3131 College Heights Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","LVPG FAMILY MEDICINE 1251 CEDAR CREST",9,0.75,3,3,4,NA,NA,37326,"1251 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","ST LUKES WALBERT AVENUE MEDICAL CENTER",1,1,5,3,3,NA,NA,66485.4639,"2428 Walbert Avenue","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","LVPG FAMILY AND INTERNAL MEDICINE CENTER VALLEY",1,1,5,3,3,NA,NA,52682.3905,"1255 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","LVPG FAMILY MEDICINE CETRONIA",6,0.875,5,7,8,NA,NA,66485.4639,"250 Cetronia Road","TRUE PERFORMANCE IND","Y"
"Allison Park","LAMPERSKI INTERNAL MEDICINE  LLC",1,1,5,8,8,NA,NA,72550.5748,"4068 Mount Royal Boulevard","TRUE PERFORMANCE IND","Y"
"Altoona","SANKARAN, MANICKAM, MD",4,0.714,2,5,7,NA,NA,40860.9792,"901 Valley View Blvd.","","Y"
"Altoona","UPMC ALTOONA REGIONAL HEALTH SERVICES INC",6,0.713,2,129,181,16,23,40860.9792,"1414 Ninth Avenue","","Y"
"Altoona","ALTOONA FAMILY PHYSICIANS",1,1,5,6,6,NA,NA,40571.0686,"501 Howard Avenue","","Y"
"Altoona","PINECROFT MEDICAL CENTER",4,0.714,2,5,7,NA,NA,40860.9792,"417 Sabbath Rest Road","TRUE PERFORMANCE","Y"
"Altoona","K SIRIPALA MD AND ASSOCIATES INC",2,0.75,3,3,4,NA,NA,40571.0686,"312 Chestnut Avenue","","Y"
"Altoona","DOCTORS WALK IN CARE INC",8,0.6,2,6,10,2,3,40571.0686,"222 Chestnut Avenue","","Y"
"Altoona","RIFKAH, ELIAS MD",3,0.727,2,8,11,1,2,40571.0686,"120 Chestnut Avenue","","Y"
"Altoona","REINHARDT FAMILY PRACTICE",7,0.696,2,16,23,3,4,40571.0686,"1701 12th Avenue","TRUE PERFORMANCE IND","Y"
"Altoona","TRIDENT USA MOBILE CLINICAL SERVICES LLC",9,0.25,1,1,4,NA,NA,40571.0686,"1020 Green Avenue","","Y"
"Ambridge","HVMG INTERNAL MEDICINE ASSOCIATES",1,0.83,4,39,47,0,1,39157.7213,"1155 Merchant Street","TRUE PERFORMANCE PLUS COMM","Y"
"Annville","PINNACLEHEALTH ANNVILLE FAMILY MEDICINE",1,0.813,4,26,32,0,1,58347.9183,"1251 East Main Street","TRUE PERFORMANCE PLUS COMM","Y"
"Apollo","KISKI VALLEY COMMUNITY MEDC PC",1,0.833,4,20,24,0,1,48339.6172,"310 South Second Street","TRUE PERFORMANCE IND","Y"
"Arendtsville","MARTIN, H FREDERICK MD",1,1,5,3,3,NA,NA,78942,"56 South High Street","TRUE PERFORMANCE","Y"
"Aspers","WELLSPAN FAMILY MEDICINE ASPERS",1,1,5,8,8,NA,NA,52562.1,"2060 Carlisle Road","TRUE PERFORMANCE","Y"
"Aspinwall","PRIME CARE MEDICAL ASSOCIATES UPMC",1,0.857,5,12,14,0,0,73584.7475,"241-251 Freeport Road","","Y"
"Athens","GUTHRIE MEDICAL GROUP PC/ATHENS",1,0.8,4,4,5,NA,NA,36198.6764,"412 South Main Street","TRUE PERFORMANCE","Y"
"Avis","GEISINGER JERSEY SHORE MEDICAL ASSOCIATES AVIS",1,1,5,3,3,NA,NA,42798,"104 East Central Avenue","TRUE PERFORMANCE CUSTOM CONTRACT","Y"
"Avonmore","MUTHAPPAN, PALANIAPPAN, MD",1,0.8,4,4,5,NA,NA,44448.5351,"527 Westmoreland Avenue","","Y"
"Baden","HVMG BADEN AREA HEALTHCARE SERVICES",1,1,5,15,15,0,0,63009.2585,"210 Ohio River Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Bangor","NORTHAMPTON INTERNAL MEDICINE AT BANGOR",1,1,5,3,3,NA,NA,57029.4254,"125 South First Street","TRUE PERFORMANCE","Y"
"Barto","POTTSTOWN MEDICAL SPECIALISTS BALLY",1,0.75,3,3,4,NA,NA,68534.4091,"1315 Route 100","TRUE PERFORMANCE","Y"
"Bath","GUERRA, REYNALDO C, MD",1,0.667,2,2,3,NA,NA,62496.6811,"108 East Northampton Street","","Y"
"Bath","ST LUKES INTERNAL MEDICINE BATH",1,0.667,2,2,3,NA,NA,62496.6811,"2445 Plaza Court","TRUE PERFORMANCE PLUS COMM","Y"
"Beaver","HVMG VALLEY INTERNAL MEDICINE",4,0.839,4,47,56,0,1,54197.327,"500 Sharon Road","TRUE PERFORMANCE PLUS COMM","Y"
"Beaver","INTERNAL MEDICINE AND ENDOCRINOLOGY",2,0.917,5,11,12,0,0,54197.327,"701 Sharon Road","TRUE PERFORMANCE IND","Y"
"Beaver","HVMG BEAVER INTERNAL MEDICINE BEAVER",3,0.889,5,32,36,0,0,54197.327,"1000 Dutch Ridge Rd.","TRUE PERFORMANCE PLUS COMM","Y"
"Beaver","HVMG ASSOCIATES OF INTERNAL MEDICINE",1,0.952,5,20,21,0,0,54197.327,"1211 Third Street","TRUE PERFORMANCE PLUS COMM","Y"
"Beaver Falls","HVMG BEAVER INTERNAL MEDICINE BEAVER FALLS",2,0.927,5,38,41,0,0,44790.9274,"1307 Sixth Avenue","TRUE PERFORMANCE PLUS COMM","Y"
"Beaver Falls","HVMG TRINITY",3,0.85,5,34,40,0,0,44790.9274,"2580 Constitution Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Beaver Falls","HERITAGE VALLEY FP- GUFFEY",4,0.727,2,8,11,1,2,44790.9274,"2580 Constution Blvd","TRUE PERFORMANCE PLUS COMM","Y"
"Beaver Falls","HERITAGE VALLEY FAMILY HEALTH CENTER",1,1,5,6,6,NA,NA,44790.9274,"1125 7th Avenue","TRUE PERFORMANCE PLUS COMM","Y"
"Beaver Falls","HERITAGE VALLEY FAMILY PRACTICE GRIECO",5,0.692,2,9,13,2,2,44790.9274,"2620 Constitution Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Bedford","UPMC BEDFORD INTERNAL MEDICINE",1,0.5,1,4,8,NA,NA,37904.4741,"118 South Anderson Street","","Y"
"Belle Vernon","PEPPER FAMILY MEDICINE",1,1,5,3,3,NA,NA,34703.0682,"728 Broad Avenue","TRUE PERFORMANCE PLUS COMM","Y"
"Belle Vernon","TRI COUNTY MEDICAL PRACTICE LLC",2,0.864,5,19,22,0,0,34703.0682,"515 Broad Avenue","TRUE PERFORMANCE PLUS COMM","Y"
"Belle Vernon","PRIME MEDICAL GROUP PCG1-CHAUHAN ASSOCS",3,0.82,4,41,50,0,1,34703.0682,"1533 Broad Avenue","TRUE PERFORMANCE AHN","Y"
"Belle Vernon","MON VALE PRIMARY CARE PRACTICES INC",4,0.786,3,22,28,1,2,34703.0682,"800 Plaza Drive","TRUE PERFORMANCE PLUS COMM","Y"
"Bellefonte","BELLEFONTE MEDICAL CLINIC PC",1,0.929,5,13,14,0,0,45299.856,"527 Willowbank Street","TRUE PERFORMANCE","Y"
"Bellefonte","GMG BELLEFONTE FAMILY PRACTICE",2,0.778,3,7,9,NA,NA,45299.856,"819 East Bishop Street","TRUE PERFORMANCE CUSTOM CONTRACT","Y"
"Bellevue","HUSSAINI MEDICAL ASSOCIATES",1,0.857,5,6,7,NA,NA,45961.4011,"340 Lincoln Avenue","TRUE PERFORMANCE AHN","Y"
"Bentleyville","SOUTHWEST MEDICAL CENTER",1,0.727,2,16,22,2,3,37552.2931,"119 Wilson Road","TRUE PERFORMANCE PLUS COMM","Y"
"Bethel Park","YEASTED, GEORGE A MD",1,1,5,4,4,NA,NA,64384.8337,"2000 Oxford Drive","","Y"
"Bethel Park","SOUTH HILLS FAMILY MEDICINE LLC",3,0.902,5,55,61,0,0,64384.8337,"1000 Higbee Drive","TRUE PERFORMANCE AHN","Y"
"Bethel Park","PPCP BOBBY AND KOTAR",2,0.909,5,10,11,0,0,64384.8337,"2000 Oxford Drive","TRUE PERFORMANCE PLUS COMM","Y"
"Bethel Park","MT LEBANON INTERNAL MEDICINE DIVISION",4,0.8,4,32,40,0,2,64384.8337,"2000 Oxford Drive","TRUE PERFORMANCE PLUS COMM","Y"
"Bethlehem","WILLIAM J GOULD DO PC",1,1,5,4,4,NA,NA,64939.0495,"3445 High Point Boulevard","","Y"
"Bethlehem","MEDICAL ASSOCIATES OF BETHLEHEM",8,0.75,3,6,8,NA,NA,74018.1998,"4311 Easton Avenue","TRUE PERFORMANCE PLUS COMM","Y"
"Bethlehem","SOUTH MOUNTAIN FAMILY PRACTICE",11,0.667,2,6,9,NA,NA,44996.7101,"1545 Broadway","TRUE PERFORMANCE PLUS COMM","Y"
"Bethlehem","DORVILLE MD AND KUNDU MD ASSOC",7,0.875,5,7,8,NA,NA,64939.0495,"5325 Northgate Drive","TRUE PERFORMANCE","Y"
"Bethlehem","LVPG FAMILY AND INTERNAL MEDICINE BETHLEHEM TOWNSHIP",1,1,5,7,7,NA,NA,74018.1998,"2101 Emrick Boulevard","TRUE PERFORMANCE IND","Y"
"Bethlehem","WILLIAM PENN FAMILY PRACTICE",1,1,5,3,3,NA,NA,74018.1998,"4379 Easton Avenue","TRUE PERFORMANCE PLUS COMM","Y"
"Bethlehem","ST LUKES BETHLEHEM INTERNAL MEDICINE",1,1,5,6,6,NA,NA,46494.3983,"800 Eaton Avenue","TRUE PERFORMANCE PLUS COMM","Y"
"Bethlehem","ERIKA LAHAV MD",1,1,5,4,4,NA,NA,64939.0495,"2045 Westgate Drive","TRUE PERFORMANCE IND","Y"
"Bethlehem","LVPG INTERNAL MEDICINE MUHLENBERG",10,0.706,2,12,17,2,3,64939.0495,"2649 Schoenersville Road","TRUE PERFORMANCE IND","Y"
"Bethlehem","LEHIGH VALLEY FAMILY PRACTICE ASSOCIATES",8,0.75,3,3,4,NA,NA,64939.0495,"190 Brodhead Road","TRUE PERFORMANCE IND","Y"
"Bethlehem","EASTON MEDICAL GROUP",1,1,5,5,5,NA,NA,74018.1998,"3101 Emrick Boulevard","TRUE PERFORMANCE","Y"
"Blairsville","LAH BLAIRSVILLE FAMILY MEDICINE",1,0.882,5,15,17,0,0,41477.3677,"56 Club Lane","TRUE PERFORMANCE PLUS COMM","Y"
"Blairsville","KLAIN, MATTHEW N MD PC",2,0.852,5,23,27,0,0,41477.3677,"25 Colony Boulevard","TRUE PERFORMANCE AHN","Y"
"Blandon","LVPG FAMILY MEDICINE BLANDON",1,0.667,2,2,3,NA,NA,63599,"850 Golden Drive","TRUE PERFORMANCE IND","Y"
