"City","Practice_Name","City.Rank","Compliance","Star_Rating","Numerator","Denominator","Needed4","Needed5","Med_Household","Address","Program","Stars_Par"
"Albion","ALBION FAMILY PRACTICE",1,0.885,5,23,26,0,0,45413.8463,"155 East State Street","TRUE PERFORMANCE AHN","Y"
"Albrightsville","CMS PENN KIDDER",1,0.875,5,7,8,NA,NA,52147.0647,"2588 State Route 903","TRUE PERFORMANCE","Y"
"Albrightsville","ST LUKES ALBRIGHTSVILLE INTERNAL MEDICINE",2,0.833,4,10,12,0,1,52147.0647,"2599 State Route 903","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","RANDY R SHEMER DO",7,0.585,2,38,65,12,18,49623.6499,"2424 Mill Street","TRUE PERFORMANCE AHN","Y"
"Aliquippa","MOKA, GANAPATHI  RAO, MD",8,0.5,1,6,12,4,5,49623.6499,"2450 Mill St","","Y"
"Aliquippa","SINGH, AMAR, J, MD",5,0.679,3,19,28,3,6,49623.6499,"1 Hospital Drive","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","HVMG JAMES TATUM",3,0.755,3,108,143,1,16,49623.6499,"2299 Brodhead Rd","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","HVMG FAMILY PRACTICE ASSOC HOPEWELL",2,0.793,4,111,140,0,10,49623.6499,"99 Buss Rd","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","SIA, JOSE K MD",1,0.889,5,8,9,NA,NA,49623.6499,"2285 Brodhead Road","","Y"
"Aliquippa","HVMG INTERNAL MEDICINE SPECIALISTS",4,0.691,3,85,123,9,21,49623.6499,"3113 Green Garden Rd","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","PERSONAL CARE MEDICAL ASSOCIATES LLC",6,0.591,2,13,22,4,6,49623.6499,"2349 Mill Street","","Y"
"Allentown","OAA ORTHOPAEDIC SPECIALISTS",20,0.75,3,6,8,NA,NA,66485.4639,"250 Cetronia Road","BUNDLES SHARED SAVINGS","Y"
"Allentown","COMPREHENSIVE PAIN CENTER",1,1,5,3,3,NA,NA,66485.4639,"4825 West Tilghman Street","","Y"
"Allentown","VALLEY FAMILY PRACTICE",35,0.6,2,9,15,3,4,52682.3905,"2319 Union Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","SACRED HEART PRIMARY CARE",1,1,5,8,8,NA,NA,66485.4639,"3570 Hamilton Boulevard","TRUE PERFORMANCE","Y"
"Allentown","OAKWOOD MEDICAL CENTER",31,0.643,2,9,14,2,4,27520.1629,"451 West Chew Street","TRUE PERFORMANCE","Y"
"Allentown","CEDAR CREST EMERGI CENTER",40,0.529,1,9,17,4,6,52682.3905,"1101 South Cedar Crest Boulevard","","Y"
"Allentown","BOGNET MEDICAL ASSOCIATES PC",41,0.5,1,5,10,3,4,52682.3905,"1275 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","HANOVER FAMILY MEDICAL GROUP",32,0.639,2,23,36,5,8,40801.9732,"1202 Hanover Avenue","TRUE PERFORMANCE","Y"
"Allentown","LVPG GERIATRICS MEDICINE",43,0.25,1,1,4,NA,NA,66485.4639,"17th and Chew Streets","TRUE PERFORMANCE IND","Y"
"Allentown","LVPG INTERNAL MEDICINE 3080 HAMILTON BOULEVARD",11,0.841,4,37,44,0,1,52682.3905,"3080 Hamilton Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","LVPG LEHIGH VALLEY FAMILY HEALTH CENTER",23,0.727,3,8,11,1,2,66485.4639,"1730 Chew Street","TRUE PERFORMANCE IND","Y"
"Allentown","CONNELLY FAMILY PRACTICE",34,0.609,2,14,23,4,6,66485.4639,"501 North 17th Street","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","FAMILY PRACTICE JAMES MARTIN MD PC",44,0.2,1,1,5,NA,NA,52682.3905,"1148 S Cedar Crest Boulevard","","Y"
"Allentown","LVPG FAMILY MEDICINE 3080 HAMILTON BOULEVARD",19,0.76,4,38,50,0,5,52682.3905,"3080 Hamilton Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","LVPG FAMILY MEDICINE SOUTHSIDE",37,0.588,2,10,17,3,5,52682.3905,"141 E Emaus Avenue","TRUE PERFORMANCE IND","Y"
"Allentown","TOTAL FAMILY HEALTHCARE",22,0.741,3,20,27,1,4,52682.3905,"3050 Hamilton Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","ALLENTOWN FAMILY PRACTICE",15,0.8,4,4,5,NA,NA,27520.1629,"450 Chew Street","TRUE PERFORMANCE","Y"
"Allentown","DAVID J SHINGLES DO PC",42,0.333,1,2,6,NA,NA,52682.3905,"1101 South Cedar Crest Boulevard","","Y"
"Allentown","VALLEY FAMILY CARE PC",29,0.667,3,6,9,NA,NA,80775.4288,"1150 Glenlivet Drive","","Y"
"Allentown","ST LUKES INTERNAL MEDICINE HAMILTON COURT",6,0.929,5,26,28,0,0,52682.3905,"3050 Hamilton Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","LVPG BARIATRIC MEDICINE 1243 CEDAR CREST",29,0.667,3,4,6,NA,NA,52682.3905,"1243 South Cedar Crest Boulevard","","Y"
"Allentown","LVPG INTERNAL MEDICINE 1230 CEDAR CREST",17,0.795,4,93,117,0,8,52682.3905,"1230 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","OBEID, EDMOND MD",26,0.714,3,5,7,NA,NA,66485.4639,"1720 West Fairmont Street","","Y"
"Allentown","ST LUKES INTERNAL MEDICINE ALLENTOWN",12,0.833,4,10,12,0,1,66485.4639,"1901 Hamilton Street","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","MCGORRY AND MATTA FAMILY MEDICINE",13,0.821,4,46,56,0,3,52682.3905,"3050 Hamilton Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","JOHN F WOLF MD",1,1,5,14,14,0,0,52682.3905,"1255 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","AMC MEDICAL ASSOCIATES",9,0.857,4,12,14,0,1,66485.4639,"401 North 17th Street","TRUE PERFORMANCE IND","Y"
"Allentown","THOMAS J CZAJKOWSKI MD",27,0.7,3,7,10,1,2,66485.4639,"3131 College Heights Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","LEHIGH VALLEY INTERNISTS",8,0.906,5,29,32,0,0,66485.4639,"798 Hausman Road","TRUE PERFORMANCE IND","Y"
"Allentown","ADULT MEDICINE AND GERIATRICS",14,0.813,4,13,16,0,1,66485.4639,"798 Hausman Road","TRUE PERFORMANCE IND","Y"
"Allentown","JOSEPH A HABIG II MD JACLYN M SPERRAZZA DO",23,0.727,3,8,11,1,2,66485.4639,"798 Hausman Road","TRUE PERFORMANCE IND","Y"
"Allentown","LEHIGH VALLEY PRIMARY CARE PHYSICIANS PRACTICE",45,0,1,0,3,NA,NA,37326,"17th and Chew Streets","TRUE PERFORMANCE IND","Y"
"Allentown","LVPG FAMILY MEDICINE 1251 CEDAR CREST",10,0.85,4,34,40,0,1,37326,"1251 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","ST LUKES WALBERT AVENUE MEDICAL CENTER",38,0.577,2,15,26,5,8,66485.4639,"2428 Walbert Avenue","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","LVPG FAMILY AND INTERNAL MEDICINE 3080 HAMILTON BOULEVARD",15,0.8,4,16,20,0,2,52682.3905,"3080 Hamilton Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","SH CHEW ST PRIMARY CARE",1,1,5,3,3,NA,NA,27520.1629,"451 W Chew Street","TRUE PERFORMANCE","Y"
"Allentown","SH PRIMARY CARE WALBERT",35,0.6,2,6,10,2,3,66485.4639,"3420 Walbert Avenue","TRUE PERFORMANCE","Y"
"Allentown","LVPG PULMONARY AND CRITICAL CARE MEDICINE",1,1,5,3,3,NA,NA,52682.3905,"1250 South Cedar Crest Boulevard","","Y"
"Allentown","LVPG FAMILY AND INTERNAL MEDICINE CENTER VALLEY",33,0.636,2,14,22,3,5,52682.3905,"1255 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","LVPG FAMILY MEDICINE CETRONIA",18,0.789,4,30,38,0,3,66485.4639,"250 Cetronia Road","TRUE PERFORMANCE IND","Y"
"Allentown","ST LUKES EMAUS AVENUE FAMILY PRACTICE",28,0.688,3,11,16,2,3,52682.3905,"1101 West Emaus Avenue","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","LVPG ORTHOPEDICS AND SPORTS MEDICINE",20,0.75,3,3,4,NA,NA,52682.3905,"1250 South Cedar Crest Boulevard","","Y"
"Allentown","LVPG INTERNAL MEDICINE 1255 CEDAR CREST",6,0.929,5,13,14,0,0,52682.3905,"1255 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","COORDINATED HEALTH FAMILY PRACTICE",25,0.72,3,18,25,1,4,66485.4639,"1503 North Cedar Crest Boulevard","TRUE PERFORMANCE","Y"
"Allentown","COORDINATED HEALTH INTERNAL MEDICINE",39,0.556,2,5,9,NA,NA,66485.4639,"1503 North Cedar Crest Boulevard","TRUE PERFORMANCE","Y"
"Allison Park","LAMPERSKI INTERNAL MEDICINE  LLC",1,0.877,5,64,73,0,0,72550.5748,"4068 Mount Royal Boulevard","TRUE PERFORMANCE IND","Y"
"Altoona","UPMC ALTOONA BLAIR MEDICAL ASSOC SPECIALTY",5,0.75,3,6,8,NA,NA,40860.9792,"1414 Ninth Avenue","","Y"
"Altoona","SANKARAN, MANICKAM, MD",2,0.857,4,12,14,0,1,40860.9792,"901 Valley View Blvd.","","Y"
"Altoona","UPMC ALTOONA REGIONAL HEALTH SERVICES INC",3,0.829,4,669,807,0,26,40860.9792,"1414 Ninth Avenue","","Y"
"Altoona","ALTOONA FAMILY PHYSICIANS",10,0.6,2,15,25,4,7,40571.0686,"501 Howard Avenue","","Y"
"Altoona","DOWLUT, MOHAMMAD N MD",9,0.667,3,6,9,NA,NA,40860.9792,"215 Union Avenue","","Y"
"Altoona","PINECROFT MEDICAL CENTER",6,0.744,3,29,39,1,5,40860.9792,"417 Sabbath Rest Road","TRUE PERFORMANCE","Y"
"Altoona","BLAIR NEPHROLOGY ASSOC INC",1,1,5,6,6,NA,NA,40571.0686,"312 Chestnut Avenue","","Y"
"Altoona","K SIRIPALA MD AND ASSOCIATES INC",4,0.789,4,15,19,0,2,40571.0686,"312 Chestnut Avenue","","Y"
"Altoona","DOCTORS WALK IN CARE INC",8,0.69,3,20,29,3,5,40571.0686,"222 Chestnut Avenue","","Y"
"Altoona","RIFKAH, ELIAS MD",13,0.44,1,11,25,8,11,40571.0686,"120 Chestnut Avenue","","Y"
"Altoona","REINHARDT FAMILY PRACTICE",7,0.735,3,86,117,3,15,40571.0686,"1701 12th Avenue","TRUE PERFORMANCE IND","Y"
"Altoona","TRIDENT USA MOBILE CLINICAL SERVICES LLC",11,0.5,1,2,4,NA,NA,40571.0686,"1020 Green Avenue","","Y"
"Altoona","NEW ERA PHYSICIAN SERVICES LLC",11,0.5,1,3,6,NA,NA,40860.9792,"2525 Ninth Avenue","","Y"
"Ambridge","HVMG INTERNAL MEDICINE ASSOCIATES",1,0.797,4,271,340,0,22,39157.7213,"1155 Merchant Street","TRUE PERFORMANCE PLUS COMM","Y"
"Andover","PHN ANDOVER",1,0.5,1,3,6,NA,NA,40520.7866,"5594 State Route 7","","Y"
"Annville","PINNACLEHEALTH ANNVILLE FAMILY MEDICINE",1,0.807,4,205,254,0,14,58347.9183,"1251 East Main Street","TRUE PERFORMANCE PLUS COMM","Y"
"Ansted","SUMMERSVILLE OUTPATIENT CENTER",1,0.75,3,3,4,NA,NA,31769,"52 Florence Street","TRUE PERFORMANCE","Y"
"Apalachin","APALACHIN FAMILY CARE",1,0.667,3,2,3,NA,NA,68091.6185,"6889 Route 434","","Y"
"Apollo","KISKI VALLEY COMMUNITY MEDC PC",1,0.727,3,101,139,5,19,48339.6172,"310 South Second Street","TRUE PERFORMANCE IND","Y"
"Arendtsville","MARTIN, H FREDERICK MD",1,0.8,4,24,30,0,2,78942,"56 South High Street","TRUE PERFORMANCE","Y"
"Ashland","NAKKOUL, ANWAR MD PC",3,0.444,1,4,9,NA,NA,41098.0426,"1023 Centre Street","","Y"
"Ashland","ST LUKES ASHLAND FAMILY PRACTICE",2,0.652,2,15,23,3,5,41098.0426,"530 Centre Street","TRUE PERFORMANCE PLUS COMM","Y"
"Ashland","KINGS DAUGHTERS MEDICAL CENTER",1,0.8,4,4,5,NA,NA,36312.1096,"2201 Lexington Avenue","","Y"
"Aspers","WELLSPAN FAMILY MEDICINE ASPERS",1,0.69,3,49,71,5,13,52562.1,"2060 Carlisle Road","TRUE PERFORMANCE","Y"
"Aspinwall","PRIME CARE MEDICAL ASSOCIATES UPMC",1,0.807,4,96,119,0,7,73584.7475,"241-251 Freeport Road","","Y"
"Athens","GUTHRIE MEDICAL GROUP PC/ATHENS",1,0.808,4,21,26,0,2,36198.6764,"412 South Main Street","TRUE PERFORMANCE","Y"
"Atlasburg","ALEXANDER, DAN GEORGE MD",1,0.789,4,15,19,0,2,44028,"1569 Smith Township State Road","TRUE PERFORMANCE PLUS COMM","Y"
"Avella","AVELLA FAMILY PRACTICE LLC",1,0.5,1,7,14,4,6,52105.1292,"9 Campbell Street","TRUE PERFORMANCE PLUS COMM","Y"
"Avis","GEISINGER JERSEY SHORE MEDICAL ASSOCIATES AVIS",1,0.795,4,31,39,0,3,42798,"104 East Central Avenue","TRUE PERFORMANCE CUSTOM CONTRACT","Y"
"Avoca","JAMES J KOSIK DO PC",1,0.571,2,4,7,NA,NA,46626.1314,"824 McAlpine Street","TRUE PERFORMANCE","Y"
"Avonmore","MUTHAPPAN, PALANIAPPAN, MD",1,0.692,3,36,52,4,9,44448.5351,"527 Westmoreland Avenue","","Y"
"Baden","HVMG BADEN AREA HEALTHCARE SERVICES",1,0.836,4,122,146,0,4,63009.2585,"210 Ohio River Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Bangor","MULTICARE PLUS",2,0.333,1,1,3,NA,NA,57029.4254,"225 Erdman Avenue","TRUE PERFORMANCE","Y"
"Bangor","NORTHAMPTON INTERNAL MEDICINE AT BANGOR",1,0.364,1,4,11,5,6,57029.4254,"125 South First Street","TRUE PERFORMANCE","Y"
"Barnesville","BARNESVILLE FAMILY HEALTH CENTER",1,0.75,3,3,4,NA,NA,39339.6083,"101 East Main Street","","Y"
"Barto","POTTSTOWN MEDICAL SPECIALISTS BALLY",1,0.739,3,17,23,1,3,68534.4091,"1315 Route 100","TRUE PERFORMANCE","Y"
"Bath","GUERRA, REYNALDO C, MD",3,0.5,1,4,8,NA,NA,62496.6811,"108 East Northampton Street","","Y"
"Bath","LVPG FAMILY MEDICINE BATH",1,0.857,4,6,7,NA,NA,62496.6811,"6649 Chrisphalt Drive","TRUE PERFORMANCE IND","Y"
"Bath","ST LUKES INTERNAL MEDICINE BATH",2,0.636,2,7,11,2,3,62496.6811,"2445 Plaza Court","TRUE PERFORMANCE PLUS COMM","Y"
"Beaver","HVMG VALLEY INTERNAL MEDICINE",4,0.83,4,313,377,0,12,54197.327,"500 Sharon Road","TRUE PERFORMANCE PLUS COMM","Y"
"Beaver","INTERNAL MEDICINE AND ENDOCRINOLOGY",5,0.764,4,42,55,0,6,54197.327,"701 Sharon Road","TRUE PERFORMANCE IND","Y"
"Beaver","HVMG BEAVER INTERNAL MEDICINE BEAVER",2,0.833,4,204,245,0,7,54197.327,"1000 Dutch Ridge Rd.","TRUE PERFORMANCE PLUS COMM","Y"
"Beaver","RAY, ANNMARIE MD",2,0.833,4,10,12,0,1,54197.327,"274 Third Street","TRUE PERFORMANCE PLUS COMM","Y"
"Beaver","HOLDREN, JEAN A., DO",6,0.571,2,4,7,NA,NA,54197.327,"701 Sharon Road","","Y"
