"ID","practice_Name","Lon","Lat","Zip","Med_Household","Mean_Household","Pop_of_Zip","Measure","Weight","Compliance","Denominator","Numerator","Star_Rating","Aggregate_Stars","Cut2","Cut3","Cut4","Cut5","Needed2","Needed3","Needed4","Needed5","Needed_Next","Gap_Worth","Address","Address_2","City","State","Program","Entity","Health_System","FreedomBlue","SecurityBlue","WV_FreedomBlue","Stars_Par","practice_Mbr_Count"
"000000626","SPEICHER, JOSEPH DO",-75.8368724,41.8375498,18801,43679.1409,54747.1118,8193,"C14: Comprehensive Diabetes Care: Medical Attention for Nephropathy",1,0.833,6,5,1,4.37,0.92,0.95,0.97,0.98,NA,NA,NA,NA,NA,NA,"100 Hospital Drive","","Montrose","PA","TRUE PERFORMANCE","ENDLESS MOUNTAINS HEALTH SYSTEMS TRUE PERFORMANCE","","Y","","","Y",32
"000001702","NELSON, LAWRENCE J MD",-79.9436399,40.3249199,15236,55607.3086,65950.9892,30298,"C14: Comprehensive Diabetes Care: Medical Attention for Nephropathy",1,0.6,5,3,1,2,0.92,0.95,0.97,0.98,NA,NA,NA,NA,NA,NA,"777 Clairton Boulevard","","Pittsburgh","PA","","","","","Y","","Y",28
"000001795","DITOPPA, LOUIS A DO",-79.8102163,40.3387421,15131,46296.0262,57736.626,8987,"C14: Comprehensive Diabetes Care: Medical Attention for Nephropathy",1,0.9,20,18,1,3.67,0.92,0.95,0.97,0.98,1,1,2,2,2,0.0649999999999999,"1978 Lincoln Way","","White Oak","PA","TRUE PERFORMANCE IND","QUALITY CARE PARTNERS PC TRUE PERFORMANCE","","","Y","","Y",188
"000001892","LANCHESTER MED CTR LTD",-75.9939474,39.9633366,17527,56895.7932,66539.1812,5448,"C14: Comprehensive Diabetes Care: Medical Attention for Nephropathy",1,1,1,1,5,NA,0.92,0.95,0.97,0.98,NA,NA,NA,NA,NA,NA,"381 Gap Newport Pike","","Gap","PA","","","","Y","","","Y",9
"000002297","INTEGRATED MEDICAL GROUP INT MED",-76.1858908,40.7033851,17901,39292.0361,48297.2029,26494,"C14: Comprehensive Diabetes Care: Medical Attention for Nephropathy",1,0.875,24,21,1,2.43,0.92,0.95,0.97,0.98,2,2,3,3,3,0.0433333333333333,"48 Tunnel Road","Suite 204","Pottsville","PA","TRUE PERFORMANCE","INTEGRATED MEDICAL GROUP PC TRUE PERFORMANCE","","Y","","","Y",191
"000003926","FAMILY FIRST HEALTH",-76.7271117,39.9606001,17401,24338.2901,33700.8782,16244,"C14: Comprehensive Diabetes Care: Medical Attention for Nephropathy",1,0.6,5,3,1,1.55,0.92,0.95,0.97,0.98,NA,NA,NA,NA,NA,NA,"116 South George Street","","York","PA","TRUE PERFORMANCE","FAMILY FIRST HEALTH TRUE PERFORMANCE","","Y","","","Y",30
"000004168","BEATTY, LAWRENCE THOMAS MD",-78.8479875,40.2779613,15904,43655.3817,62380.9029,17093,"C14: Comprehensive Diabetes Care: Medical Attention for Nephropathy",1,0.929,14,13,2,2.72,0.92,0.95,0.97,0.98,0,1,1,1,1,0.16,"201 College Park Plaza","Suite 2","Johnstown","PA","","","","","Y","","Y",59
"000004564","GIUGLIANO, FRANK J MD",-76.2278374,41.0623951,18603,38172.5427,46580.6173,19554,"C14: Comprehensive Diabetes Care: Medical Attention for Nephropathy",1,0.8,5,4,1,2,0.92,0.95,0.97,0.98,NA,NA,NA,NA,NA,NA,"523 Fowler Avenue","","Berwick","PA","","","","Y","","","Y",13
"000005944","RANDY R SHEMER DO",-80.2871554,40.6062659,15001,49623.6499,59542.5742,35062,"C14: Comprehensive Diabetes Care: Medical Attention for Nephropathy",1,0.895,19,17,1,2.41,0.92,0.95,0.97,0.98,1,2,2,2,2,0.0649999999999999,"2424 Mill Street","","Aliquippa","PA","TRUE PERFORMANCE AHN","PHYSICIAN PARTNERS OF WESTERN PA LLC TRUE PERFORMANCE","","","Y","","Y",178
"000007079","MON VLY COMM HLTH SERVICE MED",-79.8708767,40.1599508,15062,29776.2544,41141.6097,8692,"C14: Comprehensive Diabetes Care: Medical Attention for Nephropathy",1,1,7,7,5,1.88,0.92,0.95,0.97,0.98,NA,NA,NA,NA,NA,NA,"2 Eastgate Avenue","Suite 101","Monessen","PA","TRUE PERFORMANCE PLUS COMM","VALE U HEALTH PHYSICIAN ORGANIZATION TRUE PERFORMANCE","","","Y","","Y",35
