"City","Practice_Name","City.Rank","Compliance","Star_Rating","Numerator","Denominator","Needed4","Needed5","Med_Household","Address"
"Albion","ALBION FAMILY PRACTICE",1,1,5,0,8,NA,NA,45413.8463,"155 East State Street"
"Albrightsville","ST LUKES ALBRIGHTSVILLE INTERNAL MEDICINE",1,0.2,1,4,5,NA,NA,52147.0647,"2599 State Route 903"
"Aliquippa","RANDY R SHEMER DO",8,0.526,2,9,19,5,7,49623.6499,"2424 Mill Street"
"Aliquippa","MOKA, GANAPATHI  RAO, MD",6,0.833,4,1,6,NA,NA,49623.6499,"2450 Mill St"
"Aliquippa","SINGH, AMAR, J, MD",7,0.786,4,3,14,0,2,49623.6499,"1 Hospital Drive"
"Aliquippa","HVMG JAMES TATUM",3,0.938,5,2,32,0,0,49623.6499,"2299 Brodhead Rd"
"Aliquippa","HVMG FAMILY PRACTICE ASSOC HOPEWELL",4,0.872,5,5,39,0,0,49623.6499,"99 Buss Rd"
"Aliquippa","SIA, JOSE K MD",1,1,5,0,3,NA,NA,49623.6499,"2285 Brodhead Road"
"Aliquippa","HVMG INTERNAL MEDICINE SPECIALISTS",5,0.865,5,5,37,0,0,49623.6499,"3113 Green Garden Rd"
"Aliquippa","PERSONAL CARE MEDICAL ASSOCIATES LLC",1,1,5,0,11,0,0,49623.6499,"2349 Mill Street"
"Allentown","OAKWOOD MEDICAL CENTER",12,0.75,3,1,4,NA,NA,27520.1629,"451 West Chew Street"
"Allentown","BOGNET MEDICAL ASSOCIATES PC",27,0,1,3,3,NA,NA,52682.3905,"1275 South Cedar Crest Boulevard"
"Allentown","HANOVER FAMILY MEDICAL GROUP",19,0.556,2,4,9,NA,NA,40801.9732,"1202 Hanover Avenue"
"Allentown","LVPG INTERNAL MEDICINE 3080 HAMILTON BOULEVARD",14,0.692,3,4,13,2,3,52682.3905,"3080 Hamilton Boulevard"
"Allentown","LVPG LEHIGH VALLEY FAMILY HEALTH CENTER",6,0.833,4,1,6,NA,NA,66485.4639,"1730 Chew Street"
"Allentown","CONNELLY FAMILY PRACTICE",13,0.7,3,3,10,1,2,66485.4639,"501 North 17th Street"
"Allentown","LVPG FAMILY MEDICINE 3080 HAMILTON BOULEVARD",1,1,5,0,17,0,0,52682.3905,"3080 Hamilton Boulevard"
"Allentown","LVPG FAMILY MEDICINE SOUTHSIDE",17,0.6,2,2,5,NA,NA,52682.3905,"141 E Emaus Avenue"
"Allentown","TOTAL FAMILY HEALTHCARE",21,0.4,1,6,10,4,5,52682.3905,"3050 Hamilton Boulevard"
"Allentown","ST LUKES INTERNAL MEDICINE HAMILTON COURT",17,0.6,2,2,5,NA,NA,52682.3905,"3050 Hamilton Boulevard"
"Allentown","LVPG BARIATRIC MEDICINE 1243 CEDAR CREST",1,1,5,0,3,NA,NA,52682.3905,"1243 South Cedar Crest Boulevard"
"Allentown","LVPG INTERNAL MEDICINE 1230 CEDAR CREST",8,0.826,4,4,23,0,1,52682.3905,"1230 South Cedar Crest Boulevard"
"Allentown","ST LUKES INTERNAL MEDICINE ALLENTOWN",26,0.286,1,5,7,NA,NA,66485.4639,"1901 Hamilton Street"
"Allentown","MCGORRY AND MATTA FAMILY MEDICINE",24,0.375,1,5,8,NA,NA,52682.3905,"3050 Hamilton Boulevard"
"Allentown","JOHN F WOLF MD",1,1,5,0,5,NA,NA,52682.3905,"1255 South Cedar Crest Boulevard"
"Allentown","THOMAS J CZAJKOWSKI MD",1,1,5,0,5,NA,NA,66485.4639,"3131 College Heights Boulevard"
"Allentown","LEHIGH VALLEY INTERNISTS",9,0.8,4,1,5,NA,NA,66485.4639,"798 Hausman Road"
"Allentown","LEHIGH VALLEY PRIMARY CARE PHYSICIANS PRACTICE",21,0.4,1,3,5,NA,NA,37326,"17th and Chew Streets"
"Allentown","LVPG FAMILY MEDICINE 1251 CEDAR CREST",11,0.769,3,3,13,1,2,37326,"1251 South Cedar Crest Boulevard"
"Allentown","ST LUKES WALBERT AVENUE MEDICAL CENTER",21,0.4,1,6,10,4,5,66485.4639,"2428 Walbert Avenue"
"Allentown","LVPG FAMILY AND INTERNAL MEDICINE 3080 HAMILTON BOULEVARD",15,0.667,3,2,6,NA,NA,52682.3905,"3080 Hamilton Boulevard"
"Allentown","LVPG FAMILY AND INTERNAL MEDICINE CENTER VALLEY",6,0.833,4,1,6,NA,NA,52682.3905,"1255 South Cedar Crest Boulevard"
"Allentown","LVPG FAMILY MEDICINE CETRONIA",1,1,5,0,13,0,0,66485.4639,"250 Cetronia Road"
"Allentown","ST LUKES EMAUS AVENUE FAMILY PRACTICE",20,0.5,2,2,4,NA,NA,52682.3905,"1101 West Emaus Avenue"
"Allentown","LVPG INTERNAL MEDICINE 1255 CEDAR CREST",9,0.8,4,1,5,NA,NA,52682.3905,"1255 South Cedar Crest Boulevard"
"Allentown","COORDINATED HEALTH FAMILY PRACTICE",16,0.625,2,3,8,NA,NA,66485.4639,"1503 North Cedar Crest Boulevard"
"Allentown","COORDINATED HEALTH INTERNAL MEDICINE",25,0.333,1,2,3,NA,NA,66485.4639,"1503 North Cedar Crest Boulevard"
"Allison Park","LAMPERSKI INTERNAL MEDICINE  LLC",1,0.857,4,2,14,0,1,72550.5748,"4068 Mount Royal Boulevard"
"Altoona","SANKARAN, MANICKAM, MD",2,0.875,5,1,8,NA,NA,40860.9792,"901 Valley View Blvd."
"Altoona","UPMC ALTOONA REGIONAL HEALTH SERVICES INC",1,0.881,5,31,261,0,0,40860.9792,"1414 Ninth Avenue"
"Altoona","ALTOONA FAMILY PHYSICIANS",5,0.636,2,4,11,2,3,40571.0686,"501 Howard Avenue"
"Altoona","PINECROFT MEDICAL CENTER",3,0.857,4,2,14,0,1,40860.9792,"417 Sabbath Rest Road"
"Altoona","BLAIR NEPHROLOGY ASSOC INC",6,0.5,2,2,4,NA,NA,40571.0686,"312 Chestnut Avenue"
"Altoona","K SIRIPALA MD AND ASSOCIATES INC",9,0.25,1,3,4,NA,NA,40571.0686,"312 Chestnut Avenue"
"Altoona","DOCTORS WALK IN CARE INC",7,0.364,1,7,11,5,6,40571.0686,"222 Chestnut Avenue"
"Altoona","RIFKAH, ELIAS MD",11,0.125,1,7,8,NA,NA,40571.0686,"120 Chestnut Avenue"
"Altoona","REINHARDT FAMILY PRACTICE",8,0.333,1,26,39,18,21,40571.0686,"1701 12th Avenue"
"Altoona","TRIDENT USA MOBILE CLINICAL SERVICES LLC",9,0.25,1,3,4,NA,NA,40571.0686,"1020 Green Avenue"
"Altoona","NEW ERA PHYSICIAN SERVICES LLC",4,0.667,3,1,3,NA,NA,40860.9792,"2525 Ninth Avenue"
"Ambridge","HVMG INTERNAL MEDICINE ASSOCIATES",1,0.926,5,6,81,0,0,39157.7213,"1155 Merchant Street"
"Annville","PINNACLEHEALTH ANNVILLE FAMILY MEDICINE",1,0.592,2,31,76,15,21,58347.9183,"1251 East Main Street"
"Ansted","SUMMERSVILLE OUTPATIENT CENTER",1,0.667,3,1,3,NA,NA,31769,"52 Florence Street"
"Apollo","KISKI VALLEY COMMUNITY MEDC PC",1,0.688,3,15,48,5,9,48339.6172,"310 South Second Street"
"Arendtsville","MARTIN, H FREDERICK MD",1,0.25,1,3,4,NA,NA,78942,"56 South High Street"
"Ashland","ST LUKES ASHLAND FAMILY PRACTICE",1,0.2,1,8,10,6,7,41098.0426,"530 Centre Street"
"Ashland","KINGS DAUGHTERS MEDICAL CENTER",2,0,1,3,3,NA,NA,36312.1096,"2201 Lexington Avenue"
"Aspers","WELLSPAN FAMILY MEDICINE ASPERS",1,0.474,1,10,19,6,8,52562.1,"2060 Carlisle Road"
"Aspinwall","PRIME CARE MEDICAL ASSOCIATES UPMC",1,0.75,3,5,20,1,3,73584.7475,"241-251 Freeport Road"
"Athens","GUTHRIE MEDICAL GROUP PC/ATHENS",1,0.667,3,2,6,NA,NA,36198.6764,"412 South Main Street"
"Atlasburg","ALEXANDER, DAN GEORGE MD",1,0.9,5,1,10,0,0,44028,"1569 Smith Township State Road"
"Avella","AVELLA FAMILY PRACTICE LLC",1,0.8,4,1,5,NA,NA,52105.1292,"9 Campbell Street"
"Avis","GEISINGER JERSEY SHORE MEDICAL ASSOCIATES AVIS",1,0.222,1,7,9,NA,NA,42798,"104 East Central Avenue"
"Avonmore","MUTHAPPAN, PALANIAPPAN, MD",1,0.826,4,4,23,0,1,44448.5351,"527 Westmoreland Avenue"
"Baden","HVMG BADEN AREA HEALTHCARE SERVICES",1,0.814,4,8,43,0,2,63009.2585,"210 Ohio River Boulevard"
"Bangor","NORTHAMPTON INTERNAL MEDICINE AT BANGOR",1,0.429,1,4,7,NA,NA,57029.4254,"125 South First Street"
"Barto","POTTSTOWN MEDICAL SPECIALISTS BALLY",1,0.857,4,1,7,NA,NA,68534.4091,"1315 Route 100"
"Bath","LVPG FAMILY MEDICINE BATH",1,1,5,0,3,NA,NA,62496.6811,"6649 Chrisphalt Drive"
"Beaver","HVMG VALLEY INTERNAL MEDICINE",3,0.886,5,13,114,0,0,54197.327,"500 Sharon Road"
"Beaver","INTERNAL MEDICINE AND ENDOCRINOLOGY",5,0.684,3,12,38,4,7,54197.327,"701 Sharon Road"
"Beaver","HVMG BEAVER INTERNAL MEDICINE BEAVER",4,0.855,4,9,62,0,1,54197.327,"1000 Dutch Ridge Rd."
"Beaver","HOLDREN, JEAN A., DO",1,1,5,0,3,NA,NA,54197.327,"701 Sharon Road"
"Beaver","HVMG ASSOCIATES OF INTERNAL MEDICINE",2,0.917,5,5,60,0,0,54197.327,"1211 Third Street"
