"City","Practice_Name","City.Rank","Compliance","Star_Rating","Numerator","Denominator","Needed4","Needed5","Med_Household","Address","Program","Stars_Par"
"Albion","ALBION FAMILY PRACTICE",1,0.889,5,16,18,0,0,45413.8463,"155 East State Street","TRUE PERFORMANCE AHN","Y"
"Albrightsville","CMS PENN KIDDER",1,1,5,5,5,NA,NA,52147.0647,"2588 State Route 903","TRUE PERFORMANCE","Y"
"Albrightsville","ST LUKES ALBRIGHTSVILLE INTERNAL MEDICINE",2,0.667,1,2,3,NA,NA,52147.0647,"2599 State Route 903","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","RANDY R SHEMER DO",6,0.731,1,19,26,3,4,49623.6499,"2424 Mill Street","TRUE PERFORMANCE AHN","Y"
"Aliquippa","MOKA, GANAPATHI  RAO, MD",1,1,5,5,5,NA,NA,49623.6499,"2450 Mill St","","Y"
"Aliquippa","SINGH, AMAR, J, MD",7,0.7,1,7,10,2,2,49623.6499,"1 Hospital Drive","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","HVMG JAMES TATUM",5,0.744,1,32,43,5,5,49623.6499,"2299 Brodhead Rd","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","HVMG FAMILY PRACTICE ASSOC HOPEWELL",2,0.872,5,41,47,0,0,49623.6499,"99 Buss Rd","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","SIA, JOSE K MD",8,0.667,1,4,6,NA,NA,49623.6499,"2285 Brodhead Road","","Y"
"Aliquippa","HVMG INTERNAL MEDICINE SPECIALISTS",4,0.761,1,35,46,4,5,49623.6499,"3113 Green Garden Rd","TRUE PERFORMANCE PLUS COMM","Y"
"Aliquippa","PERSONAL CARE MEDICAL ASSOCIATES LLC",3,0.846,4,11,13,0,1,49623.6499,"2349 Mill Street","","Y"
"Allentown","BOGNET MEDICAL ASSOCIATES PC",17,0.75,1,3,4,NA,NA,52682.3905,"1275 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","HANOVER FAMILY MEDICAL GROUP",17,0.75,1,3,4,NA,NA,40801.9732,"1202 Hanover Avenue","TRUE PERFORMANCE","Y"
"Allentown","LVPG INTERNAL MEDICINE 3080 HAMILTON BOULEVARD",23,0.714,1,5,7,NA,NA,52682.3905,"3080 Hamilton Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","LVPG LEHIGH VALLEY FAMILY HEALTH CENTER",1,1,5,4,4,NA,NA,66485.4639,"1730 Chew Street","TRUE PERFORMANCE IND","Y"
"Allentown","CONNELLY FAMILY PRACTICE",1,1,5,5,5,NA,NA,66485.4639,"501 North 17th Street","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","LVPG FAMILY MEDICINE 3080 HAMILTON BOULEVARD",14,0.867,5,13,15,0,0,52682.3905,"3080 Hamilton Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","LVPG FAMILY MEDICINE SOUTHSIDE",1,1,5,3,3,NA,NA,52682.3905,"141 E Emaus Avenue","TRUE PERFORMANCE IND","Y"
"Allentown","TOTAL FAMILY HEALTHCARE",30,0.333,1,2,6,NA,NA,52682.3905,"3050 Hamilton Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","DAVID J SHINGLES DO PC",1,1,5,4,4,NA,NA,52682.3905,"1101 South Cedar Crest Boulevard","","Y"
"Allentown","ST LUKES INTERNAL MEDICINE HAMILTON COURT",24,0.667,1,4,6,NA,NA,52682.3905,"3050 Hamilton Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","LVPG BARIATRIC MEDICINE 1243 CEDAR CREST",24,0.667,1,2,3,NA,NA,52682.3905,"1243 South Cedar Crest Boulevard","","Y"
"Allentown","LVPG INTERNAL MEDICINE 1230 CEDAR CREST",15,0.852,4,23,27,0,1,52682.3905,"1230 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","ST LUKES INTERNAL MEDICINE ALLENTOWN",24,0.667,1,6,9,NA,NA,66485.4639,"1901 Hamilton Street","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","MCGORRY AND MATTA FAMILY MEDICINE",17,0.75,1,9,12,2,2,52682.3905,"3050 Hamilton Boulevard","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","JOHN F WOLF MD",28,0.5,1,2,4,NA,NA,52682.3905,"1255 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","AMC MEDICAL ASSOCIATES",28,0.5,1,2,4,NA,NA,66485.4639,"401 North 17th Street","TRUE PERFORMANCE IND","Y"
"Allentown","THOMAS J CZAJKOWSKI MD",1,1,5,6,6,NA,NA,66485.4639,"3131 College Heights Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","LEHIGH VALLEY INTERNISTS",1,1,5,7,7,NA,NA,66485.4639,"798 Hausman Road","TRUE PERFORMANCE IND","Y"
"Allentown","ADULT MEDICINE AND GERIATRICS",17,0.75,1,3,4,NA,NA,66485.4639,"798 Hausman Road","TRUE PERFORMANCE IND","Y"
"Allentown","LEHIGH VALLEY PRIMARY CARE PHYSICIANS PRACTICE",1,1,5,3,3,NA,NA,37326,"17th and Chew Streets","TRUE PERFORMANCE IND","Y"
"Allentown","LVPG FAMILY MEDICINE 1251 CEDAR CREST",12,0.889,5,8,9,NA,NA,37326,"1251 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","ST LUKES WALBERT AVENUE MEDICAL CENTER",17,0.75,1,6,8,NA,NA,66485.4639,"2428 Walbert Avenue","TRUE PERFORMANCE PLUS COMM","Y"
"Allentown","LVPG FAMILY AND INTERNAL MEDICINE 3080 HAMILTON BOULEVARD",27,0.6,1,3,5,NA,NA,52682.3905,"3080 Hamilton Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","SH PRIMARY CARE WALBERT",1,1,5,4,4,NA,NA,66485.4639,"3420 Walbert Avenue","TRUE PERFORMANCE","Y"
"Allentown","LVPG FAMILY AND INTERNAL MEDICINE CENTER VALLEY",13,0.875,5,7,8,NA,NA,52682.3905,"1255 South Cedar Crest Boulevard","TRUE PERFORMANCE IND","Y"
"Allentown","LVPG FAMILY MEDICINE CETRONIA",1,1,5,13,13,0,0,66485.4639,"250 Cetronia Road","TRUE PERFORMANCE IND","Y"
