"City","Practice_Name","City.Rank","Compliance","Star_Rating","Numerator","Denominator","Needed4","Needed5","Med_Household","Address"
"Albion","ALBION FAMILY PRACTICE",1,1,5,7,7,NA,NA,45413.8463,"155 East State Street"
"Albrightsville","ST LUKES ALBRIGHTSVILLE INTERNAL MEDICINE",1,0.667,1,2,3,NA,NA,52147.0647,"2599 State Route 903"
"Aliquippa","RANDY R SHEMER DO",7,0.643,1,9,14,3,4,49623.6499,"2424 Mill Street"
"Aliquippa","MOKA, GANAPATHI  RAO, MD",3,0.833,4,5,6,NA,NA,49623.6499,"2450 Mill St"
"Aliquippa","SINGH, AMAR, J, MD",8,0.429,1,3,7,NA,NA,49623.6499,"1 Hospital Drive"
"Aliquippa","HVMG JAMES TATUM",6,0.739,1,17,23,3,3,49623.6499,"2299 Brodhead Rd"
"Aliquippa","HVMG FAMILY PRACTICE ASSOC HOPEWELL",5,0.792,2,19,24,1,2,49623.6499,"99 Buss Rd"
"Aliquippa","SIA, JOSE K MD",1,1,5,3,3,NA,NA,49623.6499,"2285 Brodhead Road"
"Aliquippa","HVMG INTERNAL MEDICINE SPECIALISTS",4,0.826,3,19,23,1,1,49623.6499,"3113 Green Garden Rd"
"Aliquippa","PERSONAL CARE MEDICAL ASSOCIATES LLC",1,1,5,6,6,NA,NA,49623.6499,"2349 Mill Street"
"Allentown","OAKWOOD MEDICAL CENTER",1,1,5,3,3,NA,NA,27520.1629,"451 West Chew Street"
"Allentown","BOGNET MEDICAL ASSOCIATES PC",25,0,1,0,4,NA,NA,52682.3905,"1275 South Cedar Crest Boulevard"
"Allentown","HANOVER FAMILY MEDICAL GROUP",14,0.889,5,8,9,NA,NA,40801.9732,"1202 Hanover Avenue"
"Allentown","LVPG INTERNAL MEDICINE 3080 HAMILTON BOULEVARD",19,0.75,1,6,8,NA,NA,52682.3905,"3080 Hamilton Boulevard"
"Allentown","LVPG LEHIGH VALLEY FAMILY HEALTH CENTER",1,1,5,7,7,NA,NA,66485.4639,"1730 Chew Street"
"Allentown","CONNELLY FAMILY PRACTICE",16,0.833,4,5,6,NA,NA,66485.4639,"501 North 17th Street"
"Allentown","LVPG FAMILY MEDICINE 3080 HAMILTON BOULEVARD",12,0.923,5,12,13,0,0,52682.3905,"3080 Hamilton Boulevard"
"Allentown","LVPG FAMILY MEDICINE SOUTHSIDE",1,1,5,3,3,NA,NA,52682.3905,"141 E Emaus Avenue"
"Allentown","TOTAL FAMILY HEALTHCARE",1,1,5,5,5,NA,NA,52682.3905,"3050 Hamilton Boulevard"
"Allentown","ST LUKES INTERNAL MEDICINE HAMILTON COURT",17,0.8,2,4,5,NA,NA,52682.3905,"3050 Hamilton Boulevard"
"Allentown","LVPG BARIATRIC MEDICINE 1243 CEDAR CREST",23,0.333,1,1,3,NA,NA,52682.3905,"1243 South Cedar Crest Boulevard"
"Allentown","LVPG INTERNAL MEDICINE 1230 CEDAR CREST",22,0.636,1,14,22,5,5,52682.3905,"1230 South Cedar Crest Boulevard"
"Allentown","MCGORRY AND MATTA FAMILY MEDICINE",1,1,5,7,7,NA,NA,52682.3905,"3050 Hamilton Boulevard"
"Allentown","JOHN F WOLF MD",1,1,5,3,3,NA,NA,52682.3905,"1255 South Cedar Crest Boulevard"
"Allentown","THOMAS J CZAJKOWSKI MD",17,0.8,2,4,5,NA,NA,66485.4639,"3131 College Heights Boulevard"
"Allentown","LEHIGH VALLEY INTERNISTS",1,1,5,3,3,NA,NA,66485.4639,"798 Hausman Road"
"Allentown","LEHIGH VALLEY PRIMARY CARE PHYSICIANS PRACTICE",1,1,5,5,5,NA,NA,37326,"17th and Chew Streets"
"Allentown","LVPG FAMILY MEDICINE 1251 CEDAR CREST",1,1,5,9,9,NA,NA,37326,"1251 South Cedar Crest Boulevard"
"Allentown","ST LUKES WALBERT AVENUE MEDICAL CENTER",15,0.857,4,6,7,NA,NA,66485.4639,"2428 Walbert Avenue"
"Allentown","LVPG FAMILY AND INTERNAL MEDICINE 3080 HAMILTON BOULEVARD",1,1,5,6,6,NA,NA,52682.3905,"3080 Hamilton Boulevard"
"Allentown","LVPG FAMILY AND INTERNAL MEDICINE CENTER VALLEY",19,0.75,1,3,4,NA,NA,52682.3905,"1255 South Cedar Crest Boulevard"
"Allentown","LVPG FAMILY MEDICINE CETRONIA",13,0.917,5,11,12,0,0,66485.4639,"250 Cetronia Road"
"Allentown","LVPG INTERNAL MEDICINE 1255 CEDAR CREST",1,1,5,5,5,NA,NA,52682.3905,"1255 South Cedar Crest Boulevard"
"Allentown","COORDINATED HEALTH FAMILY PRACTICE",19,0.75,1,6,8,NA,NA,66485.4639,"1503 North Cedar Crest Boulevard"
"Allentown","COORDINATED HEALTH INTERNAL MEDICINE",23,0.333,1,1,3,NA,NA,66485.4639,"1503 North Cedar Crest Boulevard"
"Allison Park","LAMPERSKI INTERNAL MEDICINE  LLC",1,0.889,5,8,9,NA,NA,72550.5748,"4068 Mount Royal Boulevard"
"Altoona","SANKARAN, MANICKAM, MD",1,1,5,5,5,NA,NA,40860.9792,"901 Valley View Blvd."
"Altoona","UPMC ALTOONA REGIONAL HEALTH SERVICES INC",5,0.788,2,152,193,9,14,40860.9792,"1414 Ninth Avenue"
"Altoona","ALTOONA FAMILY PHYSICIANS",2,0.9,5,9,10,0,0,40571.0686,"501 Howard Avenue"
"Altoona","PINECROFT MEDICAL CENTER",2,0.9,5,9,10,0,0,40860.9792,"417 Sabbath Rest Road"
"Altoona","K SIRIPALA MD AND ASSOCIATES INC",6,0.667,1,2,3,NA,NA,40571.0686,"312 Chestnut Avenue"
"Altoona","DOCTORS WALK IN CARE INC",9,0.625,1,5,8,NA,NA,40571.0686,"222 Chestnut Avenue"
"Altoona","RIFKAH, ELIAS MD",4,0.875,5,7,8,NA,NA,40571.0686,"120 Chestnut Avenue"
"Altoona","REINHARDT FAMILY PRACTICE",8,0.63,1,17,27,6,7,40571.0686,"1701 12th Avenue"
"Altoona","TRIDENT USA MOBILE CLINICAL SERVICES LLC",6,0.667,1,2,3,NA,NA,40571.0686,"1020 Green Avenue"
"Ambridge","HVMG INTERNAL MEDICINE ASSOCIATES",1,0.935,5,58,62,0,0,39157.7213,"1155 Merchant Street"
"Annville","PINNACLEHEALTH ANNVILLE FAMILY MEDICINE",1,0.796,2,43,54,2,4,58347.9183,"1251 East Main Street"
"Apollo","KISKI VALLEY COMMUNITY MEDC PC",1,0.789,2,30,38,2,3,48339.6172,"310 South Second Street"
"Ashland","ST LUKES ASHLAND FAMILY PRACTICE",1,0.667,1,4,6,NA,NA,41098.0426,"530 Centre Street"
"Aspers","WELLSPAN FAMILY MEDICINE ASPERS",1,0.786,2,11,14,1,2,52562.1,"2060 Carlisle Road"
"Aspinwall","PRIME CARE MEDICAL ASSOCIATES UPMC",1,0.875,5,14,16,0,0,73584.7475,"241-251 Freeport Road"
"Athens","GUTHRIE MEDICAL GROUP PC/ATHENS",1,0.75,1,3,4,NA,NA,36198.6764,"412 South Main Street"
"Atlasburg","ALEXANDER, DAN GEORGE MD",1,1,5,7,7,NA,NA,44028,"1569 Smith Township State Road"
"Avella","AVELLA FAMILY PRACTICE LLC",1,1,5,4,4,NA,NA,52105.1292,"9 Campbell Street"
